        Layer (type)               Output Shape         Param #
            ReLU-194            [1, 24, 28, 28]               0
          Conv2d-195            [1, 24, 28, 28]             216
     BatchNorm2d-196            [1, 24, 28, 28]              48
            ReLU-197            [1, 24, 28, 28]               0
          Conv2d-198            [1, 24, 28, 28]             576
     BatchNorm2d-199            [1, 24, 28, 28]              48
          Conv2d-200            [1, 24, 28, 28]             768
     BatchNorm2d-201            [1, 24, 28, 28]              48
            ReLU-202            [1, 24, 28, 28]               0
   ResidualBlock-203            [1, 24, 28, 28]               0
 ConvTranspose2d-204            [1, 24, 56, 56]           9,216
          Conv2d-205            [1, 24, 56, 56]             216
     BatchNorm2d-206            [1, 24, 56, 56]              48
            ReLU-207            [1, 24, 56, 56]               0
          Conv2d-208            [1, 16, 56, 56]             384
     BatchNorm2d-209            [1, 16, 56, 56]              32
            ReLU-210            [1, 16, 56, 56]               0
          Conv2d-211            [1, 16, 56, 56]             144
     BatchNorm2d-212            [1, 16, 56, 56]              32
            ReLU-213            [1, 16, 56, 56]               0
          Conv2d-214            [1, 16, 56, 56]             256
     BatchNorm2d-215            [1, 16, 56, 56]              32
          Conv2d-216            [1, 16, 56, 56]             384
     BatchNorm2d-217            [1, 16, 56, 56]              32
            ReLU-218            [1, 16, 56, 56]               0
   ResidualBlock-219            [1, 16, 56, 56]               0
 ConvTranspose2d-220          [1, 16, 112, 112]           4,096
          Conv2d-221          [1, 16, 112, 112]             144
     BatchNorm2d-222          [1, 16, 112, 112]              32
            ReLU-223          [1, 16, 112, 112]               0
          Conv2d-224           [1, 8, 112, 112]             128
     BatchNorm2d-225           [1, 8, 112, 112]              16
            ReLU-226           [1, 8, 112, 112]               0
          Conv2d-227           [1, 8, 112, 112]              72
     BatchNorm2d-228           [1, 8, 112, 112]              16
            ReLU-229           [1, 8, 112, 112]               0
          Conv2d-230           [1, 8, 112, 112]              64
     BatchNorm2d-231           [1, 8, 112, 112]              16
          Conv2d-232           [1, 8, 112, 112]             128
     BatchNorm2d-233           [1, 8, 112, 112]              16
            ReLU-234           [1, 8, 112, 112]               0
   ResidualBlock-235           [1, 8, 112, 112]               0
 ConvTranspose2d-236           [1, 8, 224, 224]           1,024
          Conv2d-237           [1, 2, 224, 224]             144
